reference,token,trailer,Part of Speech,Person,Number,Tense,Mood,Voice,Gender,Case,Degree
44.1.3,τῆς, ,Article,,Singular,,,,Feminine,Genitive,
44.1.3,θαλάσσης,· ,Noun,,Singular,,,,Feminine,Genitive,
44.1.3,καὶ, ,Adverb,,,,,,,,
44.1.3,ἀσθενήσουσιν, ,Verb,Third,Plural,Future,Indicative,Active,,,
44.1.3,οἱ, ,Article,,Plural,,,,Masculine,Nominative,
44.1.3,ἀσεβεῖς,", ",Adjective,,Plural,,,,Masculine,Nominative,
44.1.3,καὶ, ,Conjunction,,,,,,,,
44.1.3,ἐξαρῶ, ,Verb,First,Singular,Present,Indicative,Active,,,
44.1.3,τοὺς, ,Article,,Plural,,,,Masculine,Accusative,
44.1.3,ἀνόμους, ,Adjective,,Plural,,,,Masculine,Accusative,
44.1.3,ἀπὸ, ,Adposition,,,,,,,,
44.1.3,προσώπου, ,Noun,,Singular,,,,Neuter,Genitive,
44.1.3,τῆς, ,Article,,Singular,,,,Feminine,Genitive,
44.1.3,γῆς,", ",Noun,,Singular,,,,Feminine,Genitive,
44.1.3,λέγει, ,Verb,Third,Singular,Present,Indicative,Active,,,
44.1.3,Κύριος,. ,Noun,,Singular,,,,Masculine,Nominative,
44.1.3,καὶ, ,Adverb,,,,,,,,
44.1.4,ἐκτενῶ, ,Verb,First,Singular,Future,Indicative,Active,,,
44.1.4,τὴν, ,Article,,Singular,,,,Feminine,Accusative,
44.1.4,χεῖρά, ,Noun,,Singular,,,,Feminine,Accusative,
44.1.4,μου, ,Pronoun,First,Singular,,,,Masculine,Genitive,
44.1.4,ἐπὶ, ,Adposition,,,,,,,,
44.1.4,Ἰούδαν, ,Noun,,Singular,,,,Feminine,Accusative,
44.1.4,καὶ, ,Conjunction,,,,,,,,
44.1.4,ἐπὶ, ,Adposition,,,,,,,,
44.1.4,πάντας, ,Adjective,,Plural,,,,Masculine,Accusative,
44.1.4,τοὺς, ,Article,,Plural,,,,Masculine,Accusative,
44.1.4,κατοικοῦντας, ,Verb,,Plural,Present,Participle,Active,Masculine,Accusative,
44.1.4,Ἰερουσαλήμ,· ,Noun,,Singular,,,,Masculine,Accusative,
44.1.4,καὶ, ,Adverb,,,,,,,,
44.1.4,ἐξαρῶ, ,Verb,First,Singular,Present,Indicative,Active,,,
44.1.4,ἐκ, ,Adposition,,,,,,,,
44.1.4,τοῦ, ,Article,,Singular,,,,Masculine,Genitive,
44.1.4,τόπου, ,Noun,,Singular,,,,Masculine,Genitive,
44.1.4,τούτου, ,Adjective,,Singular,,,,Masculine,Genitive,
44.1.4,τὰ, ,Article,,Plural,,,,Neuter,Accusative,
44.1.4,ὀνόματα, ,Noun,,Plural,,,,Neuter,Accusative,
44.1.4,τῆς, ,Article,,Singular,,,,Feminine,Genitive,
44.1.4,Βάαλ, ,Noun,,Plural,,,,Neuter,Accusative,
44.1.4,καὶ, ,Conjunction,,,,,,,,
44.1.4,τὰ, ,Article,,Plural,,,,Neuter,Accusative,
44.1.4,ὀνόματα, ,Noun,,Plural,,,,Neuter,Accusative,
44.1.4,τῶν, ,Article,,Plural,,,,Masculine,Genitive,
